周	代名也周至也遍也備也今名書義取周普
宴	烏練反徐烏殄反安也下同鄭云享宴也李※烏衍反
樂	音洛注同
最逺	𡊮万反下逺險同
於難	乃旦反下及文皆同
利用恒未失常也	本亦有无咎者
于沙	如字鄭作沚
轉近	附近之近
後時	胡豆反
衍在	以善反徐怡戰反
致寇	如字鄭王肅本作戎
則辟	音避下同
己得	音紀又音巳
所復	扶又反
不速	如字馬云召也釋詁云疾也釋言云徴也召也
䷅訟	才用反爭也言之於公也鄭云辯則曰訟離宫遊魂卦
窒	張栗反徐得悉反又得失反馬作咥云讀爲躓猶止也鄭云咥覺悔貌
惕	湯歷反王注或在惕字上或在下皆通在中吉下者非
中	如字馬丁仲反
吉	有孚窒一句惕中吉一句
渉難	乃旦反
猶復	扶又反下同
不枉	紆往反
而令	力呈反
正夫	音符下注同
斷不	丁亂反下注並同
契之	苦計反下同
其分	符問反
相濫	力暫反
爭何	爭𨷖之爭
隂和	胡臥反
而逋	補吳反徐方吳反
眚	生領反子夏傳云妖祥曰眚馬云災也鄭云過也
下物	遐嫁反
竄	七亂反徐又七外反逃也
掇	徐都活反※文云拾取也鄭本作惙陟劣反憂也
忤也	五故反
復即	音服後同者更不音
渝	以朱反變也馬同鄭云然也
不邪	似嗟反
錫	星歷反又星自反賜也
鞶	歩干反馬云大也徐云王肅作槃
※	音帶亦作帶
終朝	馬云旦至食時爲終朝
三	息暫反注同或如字
褫	徐敕紙反又直是反本又作音同王肅云解也鄭本作拕徒可反
䷆師	※云衆也馬云二千五百人爲師坎宫歸魂卦
貞丈人	絶句丈人嚴莊之稱鄭云能以法度長於人
之稱	尺證反
以王	如字物歸往也徐又往況反
毒	徒篤反役也馬云治也
畜衆	敕六反聚也王肅許六反養也
否	音鄙惡也注同馬鄭王肅方有反
臧	作郎反善也
三錫	星歷反徐音賜鄭本作賜
天寵	如字鄭云光耀也王肅作龍云寵也
背髙	音佩
有禽	徐本作擒
長子	丁丈反注及下同
軍帥	色類反
䷇比	毗志反卦内並同※云輔也序卦云比比也子夏傳云地得水而柔水得地而流故曰比徐又補履反坤宫歸魂卦
凶邪	似嗟反
求有	本亦作求得
其炎	于廉反
缶	方有反瓦器也鄭云汲器也爾雅云盎謂之缶
有它	敕多反本亦作他
匪人	非※反馬云匪非也王肅本作匪人凶
三驅	匡愚反徐云鄭作敺馬云三驅者一曰乾豆二曰賔客三曰君庖
狹矣	户夾反
則舎	音赦又音捨
背己	音佩
則射	食亦反
惡而	烏路反
舎逆	音捨
䷈小畜	本又作蓄同敕六反積也聚也卦内皆同鄭許六反養也巽宫一世卦
施未	始豉反注皆同
陽上	時掌反
蒸	職膺反
車※	吐活反下文并注並同※文云解也
輻也	音福
雖復	扶又反上九注同
輿	音餘
輻	音福本亦作輹音服馬云車下縛也鄭云伏菟
隂長	丁丈反下同
血	如字馬云當作恤憂也
去	起吕反注同
亦惡	烏路反履卦同
攣	力專反馬云連也徐又力轉反子夏傳作戀云思也
幾	徐音祈又音機注同子夏傳作近
唯泰也則然	一本作然則讀即以也字絶句
有難	乃旦反
可盡	津忍反
䷉履	利恥反禮也艮宫五世卦
咥	直結反齧也馬云齕
※而	音恱注及後同
行夫	音符下同
佞邪	似嗟反
疚	久又反馬云病也陸本作疾
坦坦	吐但反※文云安也廣雅云平也明也蒼頡篇云著也
不憙	虚備反又音喜
險厄	於革反又作戹
眇	妙小反字書云盲也※文云小目
跛	波我反足跛也依字作破
不脩	本又作循
行未	下孟反
愬愬	山革反子夏傳云恐懼貌何休注公羊傳云驚愕也馬本作虩虩音許逆反云恐懼也※文同廣雅云懼也
逼近	附近之近
夬	古快反
考祥	本亦作詳
周易上經泰傳第二䷊泰	如字大通也鄭云通也馬云大也坤宫三世卦
道長	丁丈反
財成	音才徐才載反荀作裁
輔相	息亮反注同
以左	音佐注同
右民	音佑注同左右助也
拔	蒲八反
茅	卯交反鄭音苗
茹	汝據反牽引也鄒湛同王肅音如
彚	音胃類也李于※反傅氏注云彚古偉字美也古文作※董作夤出也鄭云勤也
包	本又作苞必交反下卦同音薄交反
荒	本亦作㐬音同鄭注禮云穢也※文水廣也又大也鄭讀爲康云虚也
用馮	音憑注同
荒穢	於廢反
不陂	彼僞反徐甫※反傾也注同又破河反偏也
象曰无平不陂	一本作无往不復
篇篇	如字子夏傳作翩翩向本同云輕舉貌古文作偏偏
以祉	音恥一音勑子反又音止
女處	本亦作爻處
盡夫	音符後皆放此以意求之
隍	音皇城塹也子夏作堭姚作皇
所應	如字舊音應對之應
上承	時掌反
下施	始豉反
否道	備鄙反
䷋否	備鄙反卦内同閉也塞也乾宫三世卦
道長	丁丈反
辟難	上音避下乃旦反
入邪	似嗟反
不諂	勑檢反
否亨	許庚反
疇	直留反鄭作古※字
休否	虚虬反美也又許求反息也注同
䷌同人	和同也離宫歸魂卦
以邪	似嗟反
炎上	時掌反
