周	代名也周至也遍也備也今名書義取周普
最逺	袁万反下逺險同
於難	乃旦反下及注皆同
利用恒未失常也	本亦冇无咎者
于沙	如字鄭作沚
轉近	附近之近
後時	胡豆反
衍在	以善反徐怡戰反
致寇	如字鄭王肅本作戎
則辟	音避下同
已得	音紀又音已
所復	扶又反
不速	如字馬云召也釋詁云疾也釋言云徴也召也
䷅訟	才用反爭也言之於公也鄭云辯財曰訟離宫遊魂卦
窒	張栗反徐得悉反又得失反馬作咥云讀為躓猶止也鄭云咥覺悔貌
惕	湯厯反王注或在惕字上或在下皆通在中吉下者非
中如字馬丁仲反吉	有孚窒一句惕中吉一句
渉難	乃旦反
猶復	扶又反下同
不枉	紆往反
而令	力呈反
正夫	音符下注同
斷不	丁亂反下注並同
契之	苦計反下同
其分	符問反
相濫	力暫反
爭何	爭鬬之爭
隂和	胡臥反
而逋	補呉反徐方呉反
眚	生領反子夏傳云妖祥曰眚馬云災也鄭云過也
下物	遐嫁反
竄	七亂反徐又七外反逃也
掇	徐都活反説文云拾取也鄭本作惙陟劣反憂也
忤也	五故反
復即	音服後同者更不音
渝	以朱反變也馬同鄭云然也
不邪	似嗟反
錫	星厯反又星自反賜也
鞶	歩干反馬云大也徐云王肅作槃
※	音帶亦作帶
終朝	馬云旦至食時為終朝
三	息暫反注同或如字
褫	徐敇紙反又直是反本又作褫音同王肅云解也鄭本作拕徒可反
䷆師	彖云衆也馬云二千五百人為師坎宫歸魂卦
貞丈人	絶句丈人嚴莊之稱鄭云能以法度長於人
之稱	尺證反
以王	如字物歸往也徐又往況反
毒	徒篤反役也馬云治也
畜衆	敕六反聚也王肅許六反養也
否	音鄙惡也注同馬鄭王肅方有反
臧	作郎反善也
三錫	星厯反徐音賜鄭本作賜
天寵	如字鄭云光耀也王肅作龍云寵也
背髙	音佩
有禽	徐本作擒
長子	丁丈反注及下同
軍帥	色類反
䷇比	毗志反卦内並同彖云輔也序卦云比比也子夏傳云地得水而柔水得地而流故曰比徐又補履反坤宫歸魂卦
凶邪	似嗟反
求有	本亦作求得
其炎	于亷反
