周	代名也周至也遍也備也今名書義取周普
其分	扶問反
不詳	詳審也鄭王肅作祥善也
䷢晉	彖云進也孟作齊齊子西反義同乾宫遊魂卦
康	美之名也馬云安也鄭云尊也廣也陸云安也樂也
蕃	音煩多也鄭𤼵袁反
庶	如字衆也鄭止奢反謂蕃遮禽也
晝日	竹又反
三	徐息慙反下及注同
接	如字鄭音捷勝也
上行	時掌反凡上行並同
以著	直畧反下著明同
三褫	勑紙反又直紙反
摧如	罪雷反退也鄭讀如南山崔崔之崔
未著	張慮反
自喪	息浪反
愁	狀由反鄭子小反云變色貌
介	音戒大也馬同
聞乎	聞亦作文又作交義並通
和之胡臥反鼫	音石子夏傳作碩鼠鼫鼠五技鼠也本草螻蛄一名鼫鼠
失得	如字孟馬鄭虞王肅本作矢馬王云離為矢虞云矢古誓字
失夫	音符
䷣眀夷	夷傷也坎宫遊魂卦
以蒙大難	乃旦反卦内同鄭云蒙猶遭也一云蒙冒也
文王以之	王肅云唯文王能用之鄭荀向作似之下亦然
莅	履二反又律祕反
蔽偽	本或作弊偽
所辟	音避下同
最逺	袁万反下逺難同
逺遁	徒遜反
匿形	女力反
不遑	音皇
夷于	如字子夏作睇鄭陸同云旁視曰睇亦作眱
左股	音古焉王肅作般云旋也日隨天左旋也姚作右槃云自辰右旋入丑
用拯	拯救之拯注同説文云舉也鄭云承也子夏作抍字林云抍上舉音承
示行	示或作亦
近難	附近之近下最近同
疑憚	但旦反
然後而免也	一本作然後乃獲免也
南狩	手又反本亦作守同
去闇	羌吕反
逆忤	五故反
箕子之眀夷	蜀才箕作其劉向云今易箕子作荄滋鄒湛云訓箕為荄詁子為滋漫衍無經不可致詁以譏荀爽
爲比	毗志反
䷤家人	説文家居也案人所居稱家爾雅室内謂之家是也巽宫二世卦
熾也	尺志反
而行	下孟反注皆同
閑	馬云闌也防也鄭云習也
中饋	巨愧反食也
嗃嗃	呼落反又呼學反馬云悦樂自得貌鄭云苦熱之意荀作確確劉作熇熇
嘻嘻	喜悲反馬云笑聲鄭云驕佚喜笑之意張作嬉嬉陸作喜喜
之長	丁丈反
以近	附近之近
王假	更白反注同至也鄭云登也徐古雅反馬云大也
愛樂	音洛
以著	張慮反
䷥睽	苦圭反馬鄭王肅徐吕忱並音圭序卦云乖也雜卦云外也説文云目不相視也艮宫四世卦
而上	時掌反下上行同
同行	如字王肅遐孟反
説而	音悦
喪馬	息浪反注同
自復	音服注同
必顯	一本作必類下相顯亦然
可援	于眷反下得援同又音袁
以辟	音避
于巷	戸絳反説文云里中道也廣雅云居也字書作衖
曳	以制反
掣	昌逝反鄭作㸷云牛角皆踊曰㸷徐市制反説文作觢之世反云角一俯一仰子夏作契傳云一角仰也荀作觭劉本從説文解依鄭
其人天	天剠也馬云剠鑿其額曰天
劓	魚器反截鼻也王肅作臲臲魚一反
相比	毗志反下同
元夫	如字
噬	市制反
之弧	音胡弓也
後説	吐活反注同一音始鋭反
之弧	本亦作壺京馬鄭王肅翟子𤣥作壺
媾	古豆反
恢	苦回反大也
詭	久委反異也戾也
譎	古穴反本亦作決詐也乖也
吁可	況于反
四剠	其京反説文或作黥字
䷦蹇	紀免反彖及序卦皆云難也王肅徐紀偃反兊宫四世卦
以難	乃旦反卦内及解卦皆同
難解	音蟹上六注同
未否	備鄙反
知矣	音智初六注同
得中	如字鄭云和也又張仲反王肅云中適也解卦彖同
正邦	荀陸本作正國為漢朝諱
宜待也	張本作宜時也鄭本宜待時也
逺害	袁万反
内喜	如字徐許意反猶好也
來連	力善反馬云亦難也鄭如字遲久之意
之長	直良反
長難	丁丈反
䷧解	音蟹序卦云緩也震宫二世卦
解之為義	音蟹下以解來復同
濟厄	厄或作危
彖曰解	音蟹自此盡初六注皆同
坼	勑宅反説文云裂也廣雅云分也馬陸作宅云根也
否結備鄙反者亨	許庚反
宥罪	音又京作尤
磐結	歩丹反
或有遇	遇或作過
咎非其理也	一本無此八字
所任	而鴆反
斯解	佳買反
之稱	尺證反
失枉紆往反且乘	如字王肅繩證反
柔邪	似嗟反
自我致戎	本又作致冦
解而佳買反注同拇	茂后反陸云足大指王肅云手大指荀作母
而比	毗志反
維有解	音蟹注有解及象并下注為解之極同
解難	佳買反
用射	食亦反下注同
隼	荀尹反毛詩草木鳥獸疏云鷂
髙墉	音容馬云城也
將解	佳買反
荒悖	布内反象同
以解	佳買反
䷨損	孫本反虧減之義也又訓失序卦云緩必有所失是也艮宫三世卦
曷	何葛反
二簋蜀才作軌用享	香兩反下同蜀才許庚反
上行	時掌反凡上行皆同
隂說	音悦
非長	丁丈反下徳長遂長同
爲邪	似嗟反
能拯	拯救之拯
大難	乃旦反
二簋應	師如字舊應對之應
偕行	音皆
其分	扶問反
徴	直升反止也鄭云猶清也劉作懲云清也蜀才作澄
忿芳粉反窒	珍栗反徐得悉反鄭劉作懫懫止也孟作恎陸作脊
欲	如字孟作浴
己事	音以本亦作以虞作祀
遄	市専反速也荀作顓
復自	扶又反九二注同
以上	時掌反
化淳	尚春反
以離	力智反
知者	音智
以盡	津忍反
上祐	音又本亦作佑
不制	一本作下制
遂長	丁丈反
尚夫	音符
䷩益	増長之名又以𢎞裕為義繫辭云益長裕而不設是也巽宫三世卦
民說	音恱
无疆居良反下同下下	上遐嫁反下如字注同
渉難	乃旦反下同
天施	始䜴反
之處昌預反下其處同用享	香兩反注同王廙許庚反
用圭	王肅作用桓圭
不爲	于偽反
不處	本或作不届
用費	芳貴反
盡物	津忍反
無厭	於鹽反
莫和	胡臥反
惡盈	鳥路反
偏辭	音篇孟作徧云周匝也
周易下經夬傳第五䷪夬	古快反決也坤宫五世卦
剛幾	音祈
坦然	他但反
夬決	徐古穴反
而說音恱注皆同齊長	丁丈反除上六象並同
則邪	似嗟反下同
斷制	丁亂反注同
澤上	時掌反注同
以施	始䜴反注同
壯于	側亮反
前趾	荀作止
惕	勑厯反荀翟作錫云賜也
號	戸羔反注及下同鄭王廙音号
莫夜	音暮注同鄭如字云無也無夜非一夜
號呼火故反頄	求龜反顴也又音求又丘倫反翟云面顴頰間骨也鄭作頯頯夾面也王肅音龜江氏音琴威反蜀才作仇
若濡	而朱反
有愠	紆運反恨也舊於問反
面權	如字字書作顴
棄夫本亦作去羌呂反情累	劣偽反
臀	徐徒敦反
次	本亦作趑或作※說文及鄭作趀同七私反注下同馬云卻行不前也說文倉卒也下卦放此
且	本亦作趄或作跙同七餘反注及下同馬云語助也王肅云趑趄行止之礙也下卦放此
牽羊	苦年反子夏作掔
牴	丁禮反本又作抵音同或作羝丁啼反
很	胡懇反
莧	閑辯反三家音胡練反一本作莞華板反
陸	如字馬鄭云莧陸商陸也宋衷云莧莧菜也陸商陸也虞云莧蕢也陸商也蜀才作睦睦親也通也
柔脆	七歳反
至易	以豉反
最比毗志反號咷	徒刀反
䷫姤	古豆反薛云古文作遘鄭同序卦及彖皆云遇也乾宫一世卦
用娶	七喻反本亦作取音同注及下同
正乃	如字正亦作匹
誥四方	李古報反鄭作詰起一反止也王肅同
柅	徐乃履反又女紀反廣雅云止也説文作檷云絡絲趺也讀若昵字林音乃米反王肅作抳從手子夏作鑈蜀才作尼止也
羸豕	劣隨反王肅同鄭力追反陸讀為累
蹢	直㦸反徐治益反一本作躑古文作※
躅直録反本亦作䠱蹢躅不靜也古文作※牝	頻忍反
豭	音家
包有	本亦作苞同白交反下同鄭百交反虞云白茅苞之荀作胞
利賔	如字
擅人	市戰反
逺民	袁万反
以杞	音起張云苟杞馬云大木也鄭云栁也薛云栁柔韌木也並同
包瓜	白交反子夏作苞馬鄭百交反𤓰音工花反
不舎	音捨下同
所復	扶又反
物爭	爭鬬之爭下卦同
䷬萃	在李反彖及序卦皆云聚也兊宫二世卦
亨	王肅本同馬鄭陸虞等並無此字
王假更白反以說	音恱下注皆同
則邪	似嗟反
孝享	香兩反
聚以正	荀作取以正
澤上	時掌反
除戎器	如字本亦作儲又作治王肅姚陸云除猶※治師同鄭云除去也蜀才云除去戎器脩行文徳也荀作慮
若號	絶句戸報反馬鄭王肅王廙戸羔反
一握	烏學反傳氏作渥鄭云握當讀為夫三為屋之屋蜀才同
至好	呼報反
愞	乃亂反
正	本亦作匹
妃	音配
禴	羊略反殷春祭名馬王肅同鄭云夏祭名蜀才作躍劉作□
多僻	匹亦反
以逺	袁万反
之省生領反下同以比	毗志反
未光也	一本作志未光也
齎	徐將池反王肅將啼反
咨音諮又將利反齎咨嗟歎之辭也鄭同馬云悲聲怨聲涕	徐音體
洟	他麗反又音夷鄭云自目曰涕自鼻曰洟
䷭升	式陵反序卦云上也上音時掌反鄭本作昇馬云髙也震宫四世卦
用見大人	本或作利見
以順徳	如字王肅同本又作慎師同姚本徳作得
以髙大	本或作以成髙大
允當	如字下同
閑邪	似嗟反
升虚	如字空也徐去餘反馬云丘也
用亨	許庚反通也馬鄭陸王肅許兩反馬云祭也鄭云獻也
岐山	其宜反或祁支反
攘來	如羊反
冥	覓經反闇昧之義也注同又云日冥也
則喪	息浪反
䷮困	窮也窮悴掩蔽之義故彖云剛掩也廣雅云困悴也兊宫一世卦
剛揜	本又作掩於撿反李於範反虞作弇
以說	音恱卦内同
固窮	如字或作困窮非
臀	徒敦反
株木	張愚反
幽谷	徐古木反
不覿	大厯反見也注同
獲拯	拯救之拯
隱遯	徒困反
數歳色柱反本亦作三歳困解	音蟹
朱紱	音弗下同
亨祀	許兩反注同
難之	乃旦反
不勝	音升
豐衍	延善反
蒺	音疾
蔾	音棃蒺蔾茨草
上比	毗志反
焉得	於䖍反
來徐徐	徐徐疑懼貌馬云安行貌子夏作荼荼翟同荼音圖云内不定之意王肅作余余
金車	本亦作金輿
劓	徐魚器反
刖	徐五刮反又音月荀王肅本劓刖作臲※云不安貌陸同鄭云劓刖當為倪㐳京作劓劊案說文劊斷也
祭祀	本亦作享祀
遐逺	本或作遐邇
藟	力軌反似葛之草本又作虆毛詩草木疏云一名巨荒似蘡薁連蔓而生幽州人謂之蓷虆
臲	五結反王肅妍喆反說文作㓷牛列反薛同
卼	五骨反又音月說文作※云※不安也薛又作杌字同
曰動悔	音越向云言其無不然
令生	力呈反
䷯井	精領反雜卦云通也彖云養而不窮周書云黄帝穿井世本云化益作井宋衷云化益伯益也堯臣廣雅云井深也鄭云井法也字林作井子挺反周云井以不變更為義師説井以清絜為義震宫五世卦
无喪	息浪反
汔	徐許訖反注同幾也王肅音其乞反
繘	音橘徐又居密反鄭云綆也方言云闗西謂綆為繘郭璞云汲水索也又其律反又音述
羸	律悲反徐力追反下同蜀才作累鄭讀曰虆
瓶	白經反
幾至	音祈或音機
而覆	芳福反
而上水	時掌反注及下注上水皆同
井養如字徐以上反木上	如字師又時掌反
以勞	力報反注同
勸相	息亮反注同王肅如字
井泥	乃計反注及下同
滓穢	側里反
不嚮	許亮反
棄舍	音捨下文同
井谷古木反又音浴射	食亦反注同徐食夜反鄭王肅皆音亦云厭也荀作耶
鮒	音附魚名也子夏傳謂蝦蟇
甕	屋送反李於鍾反鄭作甕云停水器也說文作罋汲缾也
敝	婢世反王肅徐扶滅反
谿谷口啼反注下	章喻反下同
而復	扶又反
无與之也	一本作則莫之與也
渫	息列反徐又食列反黄云治也
心惻	初力反說文云痛也
汲	音急
停汙	音烏
其行	下孟反象并注皆同
甃	側舊反馬云為瓦裹下達上也子夏傳云脩治也干云以甎壘井曰甃字林云井壁也
洌	音列絜也說文云水清也王肅音例
不橈	乃孝反
不食	如字又音嗣
井收	徐詩救反又如字馬云汲也陸云井幹也荀作甃
勿幕	音莫覆也干本勿作网
䷰革	馬鄭云改也坎宫四世卦
樂成	音洛上六注同
相息	如字馬云滅也李斐注漢書同說文作熄
欲上	時掌反
革而信之	一本無之字
以說	音恱注同
鞏	九勇反固也馬同
堅韌	仁震反
行有	如字又下孟反
相比	毗志反
文炳	兵領反
文蔚	音尉又紆弗反廣雅云茂也敷也說文作斐
䷱鼎	丁冷反法象也即鼎器也離宫二世卦
革去	羌吕反下皆同
賢愚别	彼列反
尊卑序	本亦作有别有序
以木巽火亨	本又作亯同普庚反煑也下及注聖人亨大亨亨飪亨者竝同
飪	入甚反熟也徐而鴆反
以享	香兩反注享上帝同
上行	時掌反
凝	魚承反嚴貌鄭云成也翟作擬云度也
顛	丁田反倒也
趾	音止
利出	徐尺遂反或如字注及下同
否	悲已反惡也注及下同
是覆	芳目反下皆同
趾倒	丁老反下同
以爲	于偽反下體為同
未悖	必内反逆也
我仇	音求匹也鄭云怨耦曰仇
可復	扶又反下同
其行	下孟反注同
塞	悉則反
雉膏	如字鄭云雉膏食之羙者
折足	之舌反注同
餗	送鹿反虞云八珍之具也馬云䭈也䭈音之然反鄭云菜也
形渥	於角反沾也鄭作剭音屋
且施	始䜴反
所盛	音成
知小	音智
金鉉	𤣥典反徐乂古𤣥反又古冥反一音古螢反馬云鉉扛鼎而舉之也
用勁	古政反
䷲震	止慎反動也八純卦象雷
以成	成亦作盛
虩虩	許逆反馬云恐懼貌鄭同荀作愬愬
笑言	言亦作語下同
啞啞	烏客反馬云笑聲鄭云樂也
怠	本又作殆
惰	徒卧反下同
解慢	佳賣反下同
恐致	曲勇反下文注皆同
不喪	息浪反卦内並同
七	必以反
鬯	勑亮反香酒
堪長	丁丈反
已出	音紀
洊	在薦反徐又在悶反
億	本又作噫同於其反辭也六五同鄭於力反云十万曰億
喪	息浪反注同荀如字
貝	如字荀音敗
躋	本又作隮子西反升也
雖復	扶又反上六注同
蘇蘇	疑懼貌王肅云躁動貌鄭云不安也馬云尸禄素餐貌
无眚	生領反
遂泥	乃計反下同荀本遂作隊泥音乃低反
困難	乃旦反
索索	桑洛反注及下同懼也馬云内不安貌鄭云猶縮縮足不正也
視	如字徐市至反
矍矍	俱縛反徐許縛反馬云中未得之貌鄭云目不正
㛰媾	古豆反
彼動故懼	故或作而
䷳艮	根恨反止也鄭云艮之言很也八純卦象山
其背	必内反徐甫載反
相背	音佩下相背同
否之	備鄙反
令物	力呈反
而强	其兩反
姧邪	似嗟反
敵應	應對之應又音膺
其趾	如字荀作止
腓	符非反本又作肥義與咸卦同
不承	音拯救之拯馬云舉也
不快	苦夬反
其限	馬云限要也鄭荀虞同
夤	引真反馬云夾脊肉也鄭本作※徐又音𦙍荀作腎云互體有坎坎為腎
薫	許云反荀作動云互體有震震為動
器喪	息浪反
䷴漸	捷撿反以之前為義即階漸之道艮宫歸魂卦
女歸吉也	王肅本還作女歸吉利貞
善俗	王肅本作善風俗
于干	如字鄭云干水傍故停水處陸云水畔稱干毛傳詩云涯也又云澗也荀王肅云山間澗水也翟云涯也
則困於小子	本又作則困䜛於小子
於謗	博浪反
讒諛	音㬰
磐	畔干反山石之安也馬云山中磐紆
衎衎	苦旦反馬云饒衍
禄養	羊尚反
歡樂	音洛
于陸	陸髙山頂也馬云山上髙平曰陸
孕	以證反説文云懐子曰孕弋甑反鄭云猶娠也荀作乗
復反	扶又反
邪配	似嗟反
合好	呼報反
能間	間厠之間
離羣力智反鄭云猶去也桷	音角翟云方曰桷桷椽也馬陸云桷榱也說文云秦曰榱周謂之椽齊魯謂之桷
安棲	音西字亦作栖
不累	劣偽反
峩峩	五何反
䷵歸妹	婦人謂嫁曰歸妹者少女之稱兊宫歸魂卦
少女	詩照反下皆同
之稱	尺證反下同
爲長	丁丈反下皆同
說以	音恱後並同
所歸妹也	本或作所以歸妹
不樂	音洛
妖邪	似嗟反
知弊	婢世反
以娣	大計反
跛	波我反
娣從	才用反又如字
眇	彌小反
以須	如字待也鄭云有才智之稱荀陸作嬬陸云妾也
愆期	起䖍反馬云過也
遲	雉夷反晚也緩也陸云待也一音直兾反
不正不應	本亦作无應
有待而行也	一本待作時
之袂	彌世反
月幾	音機又音祈荀作既
承匡	曲亡反鄭作筐
刲	苦圭反馬云刺也一音工恵反
周易下經豐傳第六䷶豐	芳忠反字林匹忠反依字作豐今並三直畫猶是變體若曲下作豆禮字耳非也世人亂之久矣彖及序卦皆云大也案豐是腆厚光大之義鄭云豐之言倎充滿意也坎宫五世卦
王假	庚白反至也下同馬古雅反大也
闡	昌善反
而令	力呈反
以徧	音遍
則※	如字孟作稷
則食	如字或作蝕非
則溢	本或作則方溢者非
以折	之舌反斷也下及注同
其配	如字鄭作妃云嘉耦曰妃
雖旬	如字均也王肅尚純反或音脣荀作均劉昞作鈞
則爭	爭鬭之爭下皆同
蔀	音部王廙同蒲户反王肅普苟反畧例云大暗之謂蔀馬云蔀小也鄭薛作菩云小席
見斗	孟作見主
曖	音愛
鄣	音章又止尚反字又作障同
斗見者	賢遍反下不見同
不邪	似嗟反
沛	本或作斾謂幡幔也又普貝反姚云滂沛也王廙豐蓋反又補頼反徐普蓋反子夏作芾傳云小也鄭干作韋云祭祀之蔽膝
沬	徐武蓋反又亡對反微昧之光也字林作昧亡太反云斗杓後星王肅云音妹鄭作昧服䖍云日中而昬也子夏傳云昧星之小者馬同薛云輔星也
肱	古𢎞反姚作股
幡	芳袁反
幔末半反以禦	魚吕反
微昧	音妹
豐其屋	說文作寷云大屋也
闚	苦規反李登云小視
闃	苦鵙反徐苦鶂反一音苦馘反馬鄭云无人貌字林云靜也姚作䦧孟作窒並通
覿	徒厯反
藏如字廕	於鴆反
其行	下孟反
治道	直吏反下同
天際	如字鄭云當為瘵瘵病也
翔鄭王肅作祥翳光	烏細反
自藏	如字衆家作戕慈羊反馬王肅云殘也鄭云傷也
有爲于偽反不出戸庭	此引節卦九二爻辭應云門庭作户誤也或云門户通語
䷷旅	力舉反羇旅也序卦云旅而无所容雜卦云親寡旅是也離宫一世卦王肅等以為軍旅
特重	直用反
物長	丁丈反
而復	扶又反六五注同
令附	力呈反
非知	音智
瑣瑣	悉果反或作璅字者非也鄭云瑣瑣小也馬云疲弊貌王肅云細小貌
懐其資	本或作懐其資斧非
喪	息浪反卦内并下卦同
爲施	始豉反
與萌	如字又音預
得其資斧	如字子夏傳及衆家並作齊斧張軌云齊斧蓋黄鉞斧也張晏云整齊也應劭云齊利也虞喜志林云齊當作齋齋戒入廟而受斧下卦同
不快	苦夬反
斫	諸若反
平坦	吐但反
射雉	食亦反注同
而上	時掌反
上逮	音代一音大計反
號	戸羔反
咷	道羔反
于易	以豉反注同王肅音亦
所嫉	音疾字林音自本亦作疾下同
其義焚也	馬云義宜也一本作宜其焚也
喪牛之凶	本亦作喪牛于易
䷸巽	孫問反入也廣雅云順也八純卦象風象木
巽弟	大計反本亦作悌
重巽	直龍反
齊邪	似嗟反下并下卦同
志治	直吏反
紛	芳云反廣雅云衆也喜也一云盛也
而復扶又反下同神祗	祁支反
頻顣	千寂反又子六反此同鄭意
不樂	音洛
逺不	袁万反
之庖	歩交反
先庚	西薦反注同
後庚	胡豆反
卒以	寸忽反下同
不說字又作恱同先申	音身或作甲字非
以斷	丁亂反下同
䷹兊	徒外反恱也八純卦象澤
兊說	音恱卦内並同
以先	西薦反又如字
犯難	乃旦反
麗澤	如字麗連也鄭作離云猶併也
黨繫	本亦作係
商兊	如字商商量也鄭云隱度也
介疾	音界隔也馬云大也
將近	附近之近
比於	毗志反
道長	丁丈反
䷺渙	呼亂反散也序卦云離也離宫五世卦
王假	庚白反下同梁武帝音賈
而上	如字又時掌反
之難	乃旦反卦内同
之累	劣僞反
享于	香兩反
用拯	控救之拯馬云舉也伏曼容云濟也王肅云拔也子夏作抍抍取也
以逝	逝又作遊
厄劇	本又作危處又作厄處
逃竄	七亂反
險爭	爭鬬之爭
机	音几
有丘	姚作有近
匪夷	荀作匪弟
丘墟	去魚反
渙汗	下旦反
以盪	徒黨反
險阨	於隔反
以假	古雅反
逖	湯厯反
血去羌呂反最逺	袁万反下於逺象逺害並同
不近	附近之近
䷄節	薦絜反止也明禮有制度之名一云分段支節之義坎宫一世卦
男女别	彼列反
復正	扶又反
說以	音恱注同
澤上有水	上或作中今不用
徳行	下孟反下注同
故匿	女力反
所怨	紆万反又紆元反
䷼中孚	芳夫反信也艮宫遊魂卦
豚	徒尊反黄作遯
說而	音恱下注皆同
乖爭	爭鬬
之行	下孟反
畜之	許六反本或作獸
渉難	乃旦反
有它	音他
燕	音鷰
鶴	戸各反
和之	胡卧反注及下同
好爵	如字王肅呼報反孟云好小也
爾靡	本又作縻同亡池反散也干同徐又武寄反又亡彼反韓詩云共也孟同埤蒼作縻云散也陸作䌕京作劘
重隂	直龍反
不徇	似俊反
或罷	如字王肅音皮徐扶彼反
少隂	詩照反
長隂	丁丈反
相比毗志反而閡	五代反
憊	備拜反
幾望	音機又音祈京作近荀作既
而上	時掌反象同
攣	力圓反廣雅云拲也
可舍	音捨
翰	胡旦反髙飛
内喪	息浪反
䷽小過	古卧反義與大過同王肅云音戈兊宫遊魂卦
遺之	如字
不冝上	時掌反注同下及文不冝上上六注上亦同鄭如字謂君也
而浸	子鴆反
以行	下孟反
所錯	本又作措又作厝同七路反
其妣	必履反
于僭	子念反
盡於	津忍反
或戕	徐在良反注同
故令	力呈反注同
先過	西薦反
而復	扶又反卦末同
晏安	於諫反又音宴
鴆除䕃反本亦作酖没怯	去業反
公弋	餘職反
則蒸	章勝反字又作烝或作媵字非
小畜	木又作蓄同勑六反
其施	始豉反
而難	乃旦反
已上也	並如字上又時掌反注同鄭作尚云庶幾也
陽已上故止也	本又作陽巳上故少隂止少音多少之少
上六弗遇	王付反本多誤故詳之
災眚	生領反
䷾既濟	節計反下卦同鄭云既已也盡也濟度也坎宫三世卦
亨小	絶句以小連利貞者非
則邪	似嗟反下同
曳	以制反
濡其	音儒注同
於燥	西早反
未造	七報反
易	以䜴反
棄難	乃旦反卦末并下卦同
婦喪	息浪反注皆同
其茀	方拂反首飾也馬同干云馬髴也鄭云車蔽也子夏作髴荀作紱董作髢
不比	毗志反
鬼方	蒼頡篇云鬼逺也
憊備拜反鄭云劣弱也陸作備云當為憊憊困劣也繻有	而朱反鄭王肅云音須子夏作□王廙同薛云古文作繻
衣袽	女居反絲袽也王肅音如説文作絮云緼也廣雅云絮塞也子夏作茹京作絮
有卻去逆反□	羊畧反祭之薄者
沼	之紹反
沚	音止
蘋	音頻
蘩	音煩
非馨	呼庭反
䷿未濟	離宫三世卦
小狐	徐音胡
汔	許訖反說文云水涸也鄭云幾也
令物力呈反各得其所	一本得作當
經綸	本又作論同音倫又魯門反
屯	張倫反
蹇紀勉反循難	似遵反猶履也
喪其	息浪反
巳比	上音紀下毗志反
以近	附近之近
暉	許歸反字又作輝
而耽	丁南反
於樂	音洛
周易繫	徐胡詣反本系也又音係續也字從※若直作※下糸者音口奚反非
辭	本亦作※依字應作詞說也說文云詞者意内而言外也辤不受也受辛者辤辝籕文辤字也
上第七	本亦作繫辭上王肅本皆作繫辭上傳訖於雜卦皆有傳字本亦有無上字者
韓伯注	本亦作韓康伯注案王輔嗣止注上下經講者相承用韓注繫辭以下續之
地卑	如字又音婢本又作埤同
其易之門	本亦作其易之門戸
斷矣	丁亂反
之分符問反章末注同著矣	張慮反
見矣	賢徧反注同
縣象	音𤣥
雨施	始豉反
相摩	本又作磨末何反京云相磑切也磑音古百代反馬云摩切也鄭注禮記云迫也迫音
相盪	衆家作蕩王肅音唐黨反馬云除也桓云動也唯韓云相推盪
鼓之	虞陸董皆云鼓鼓動也
霆	王肅吕忱音庭徐又徒鼎反又音定京云霆者雷之餘氣挺生万物也說文同蜀才云疑為電
運行	姚作違行
大始音泰王肅作泰坤作	虞姚作坤化姚云化當為作
易知	以豉反訖章末同鄭荀董並音亦
簡能	如字姚云能當為從
而成位乎其中	馬王肅作而易成位乎其中
繫辭	音系卷内皆同
焉而明吉凶	虞本更有悔吝二字
迭	田節反
剛柔者晝夜之象	虞作晝夜者剛柔之象
三極	陸云極至也馬云三統也鄭韓云三才也王肅云隂陽剛柔仁義為三極
能見	賢遍反
易之序也	陸云序象也序云次也虞本作象
所樂	音岳適㑹也虞本作所變
而玩	正亂反研玩也馬云貪也鄭作翫
祐之	音又後同
爻者	戸交反說文云交也
小疵	徐才斯反馬云瑕也
辯吉凶	如字京云明也虞董姚顧蜀才並云别也音彼列反
見乎賢遍反乎介	音界注同王肅干韓云纎介也
纎	息亷反
震无咎	馬云震驚也鄭云懼也王肅韓云動也周云救也
險易	以豉反注同京云險惡也易善也
之否	備鄙反
天地準如字京云準等也鄭云中也平也彌	如字本又作弥
綸	音倫京云彌遍綸知也王肅云綸纒裹也荀云彌終也綸迹也
天下之道	一本作天地
俯以	音甫
察於	一本作觀於
反終	鄭虞作及終
之說	如字宋衷始銳反云舍也
烟	音因
煴	紆云反
盡聚	津忍反下同
知周	音智注同
道濟	如字鄭云道當作導
不流	如字京作畱
樂天	音洛注同虞作變天
功贍	渉豔反
範圍	鄭云範法也馬王肅張作犯違張云犯違猶裁成也
而知	如字荀爽荀柔之明僧紹音智
以上	時掌反
之稱	尺證反下章反注同
知者	音智下之知注知者其知仁知並同
其分	符問反
鮮矣	悉淺反注同師說云盡也鄭作尟馬鄭王肅云少也
藏諸才剛反鄭作臧云善也衣	於既反
被	皮寄反
則有經營之功也	本亦无功字一本功作迹
成象	蜀才作盛象
爻法	胡孝反馬韓如字云放也蜀才作效
形詰	去吉反
大虚	音泰下大極同
欻爾	況勿反
自造	在早反下同
稱極	尺征反
爲稱	尺證反
不禦	魚吕反禁止也
乎迩	本又作邇音尒
也專	如字陸作塼音同
也翕	虚級反斂也
也闢	婢亦反開也
易簡	以豉反
知崇	音智注同
禮	蜀才作體
卑	必彌反本亦作埤徐音婢下同
賾	仕責反下同九家作冊京作嘖云情也
典禮	京作等禮姚作典體
以斷	丁亂反下注同
惡也	於嫁反荀作亞亞次也又烏路反馬鄭烏洛反亞通
言天下之至動而不可亂也	衆家本並然鄭本作至賾云賾當為動九家亦作冊
可逺	袁万反
之惡	烏路反
錯之	七各反
議之	陸姚桓𤣥荀柔之作儀之
則盡	津忍反
子和	胡臥反注同
縻之	本又作靡亡池反徐又亡彼反京作劘
行𤼵	下孟反下同
見乎	賢遍反
樞	尺朱反王廙云户樞也一云門※
機	王廙云弩牙也
先號	戸羔反
咷	道羔反
或黙	亡北反字或作嘿
利斷	丁亂反王肅丁管反
其臭	昌又反
初六藉	在夜反下同
用白茅	卯交反
无咎	或以此為别章今不用
苟錯	七故反本亦作措
可重	直勇反
慎斯術也	時震反鄭干同一本作順師用義鄭云術道
不徳	鄭陸蜀才作置鄭云置當為徳
下人	遐嫁反後同
爲階	姚作機
爲易者	本又云作易者
乗釁	許覲反
致寇至徐或作戎宋衷云戎誤乘也者	如字一讀繩證反
慢藏	才浪反
誨	如字敎也虞作悔謂悔恨
冶容	音也鄭陸虞姚王肅作野言妖野容儀敎誨滛泆也王肅云作野音也
大衍延善反又注演同鄭云衍演也干云合也王廙蜀才云廣也大極	音泰
掛一	卦買反别也王肅音卦
揲	時設反案揲猶數也說文云閱持也一音思頰反徐音息列反鄭云取也
歸竒	紀冝反注下同
於扐	郎得反下同馬云指間也荀柔之云别也
後掛	京作卦云再扐而後布卦
之䇿	初革反字亦作筴
當	如字下同
期	本又作朞音基同
而伸	本又作信音身
而長	丁丈反
徳行下孟反酬	市由反徐又音疇
酢	在洛反京作醋
與祐	音又助也馬云配也荀作侑
聖人之道	明僧紹作君子之道
以言者	下三句無以字一本四句皆有
如嚮	許兩反又作響
能與	音預下及注同
參伍	七南反
錯	七各反
綜	宗統反
天地之文	一本作天下虞陸本作之爻
无籌	直周反
研	蜀才作揅
幾也	如字本或作機鄭云機當作幾幾微也
夫易開	王肅作闓音同
物成務	一本無夫易二字
冒天	莫報反注同覆也
以斷	丁亂反下二章同
蓍	音尸
圎而	本又作員音同
方以知	音智注同下知以叡知注神知皆同
有分	符問反
易以	以豉反韓音亦謂變易
貢	如字告也京陸虞作工荀作功
